T01 Mustard,Glasses
T02 Trouser,Mustard,Fruits,Shoes
T03 Trouser,Mustard,Fruits,Shoes
T04 Mustard,Gloves,Shoes
T05 Trouser,Mustard,Fruits,Shoes
T06 Trouser,Mustard,Fruits,Shoes
T07 Beans,Mustard,Shoes
T08 Trouser,Mustard,Fruits,Shoes
T09 Trouser,Fruits,Shoes
T10 Gloves,Fruits
T11 Trouser,Mustard,Fruits,Shoes
T12 Trouser,Soda
T13 Beans,Mustard,Glasses,Shoes
T14 Trouser,Mustard,Fruits,Shoes
T15 Trouser,Gloves,Fruits
T16 Beans,Fruits
T17 Trouser,Mustard,Shoes
T18 Trouser,Beans
T19 Trouser,Mustard,Fruits
T20 Trouser,Soda
